epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2523.77,1.38012,1.57603,1.1093,0.70355,0.62892,0.67946,0.4227,1.18407,1.03898,1.02104,0.000369823,0.000369823,0.000369823
2,5224.11,1.2656,1.03478,1.05883,0.79926,0.66416,0.73949,0.47825,1.14578,0.87321,1.01259,0.000666881,0.000666881,0.000666881
3,8165.84,1.22631,0.90919,1.04035,0.78236,0.73868,0.79436,0.52572,1.09659,0.79567,0.99007,0.000890613,0.000890613,0.000890613
4,10423.5,1.18432,0.82674,1.02488,0.81903,0.71984,0.79949,0.54024,1.07798,0.75669,0.98078,0.000781033,0.000781033,0.000781033
5,12325.6,1.14844,0.7684,1.00706,0.80246,0.77166,0.82459,0.56428,1.05352,0.70772,0.97746,0.000671044,0.000671044,0.000671044
6,14226.2,1.12,0.72096,0.99568,0.84731,0.77818,0.85024,0.58655,1.03634,0.66603,0.96807,0.000561055,0.000561055,0.000561055
7,16120.6,1.08795,0.68269,0.98114,0.85702,0.79712,0.86287,0.60237,1.00911,0.63512,0.9567,0.000451066,0.000451066,0.000451066
8,18048.3,1.05654,0.65161,0.96891,0.85406,0.80973,0.87275,0.6133,1.00286,0.61066,0.9527,0.000341077,0.000341077,0.000341077
9,19997.4,1.03193,0.62322,0.95869,0.87023,0.82296,0.88268,0.62593,0.97942,0.59647,0.94411,0.000231088,0.000231088,0.000231088
10,21938.8,1.00493,0.60038,0.94952,0.8616,0.82956,0.88512,0.63223,0.96246,0.57628,0.93874,0.000121099,0.000121099,0.000121099
